totalLogLikelihoodDensity totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwCbcLogPriorDensityTracker
123.5657875136906 44.04734344782291 0 0 44.04734344782291 54.42613023226581 -10.3787867844429
123.5657875136906 44.04734344782291 0 0 44.04734344782291 54.42613023226581 -10.3787867844429
123.5657875136906 44.04734344782291 0 0 44.04734344782291 54.42613023226581 -10.3787867844429
123.5657875136906 44.04734344782291 0 0 44.04734344782291 54.42613023226581 -10.3787867844429
123.5657875136906 44.04734344782291 0 0 44.04734344782291 54.42613023226581 -10.3787867844429
123.5657875136906 44.04734344782291 0 0 44.04734344782291 54.42613023226581 -10.3787867844429
123.5657875136906 44.04734344782291 0 0 44.04734344782291 54.42613023226581 -10.3787867844429
129.4477314574877 44.03874854840879 0 0 44.03874854840879 54.41753533285168 -10.3787867844429
129.4477314574877 44.03874854840879 0 0 44.03874854840879 54.41753533285168 -10.3787867844429
129.4477314574877 44.03874854840879 0 0 44.03874854840879 54.41753533285168 -10.3787867844429
129.4477314574877 44.03874854840879 0 0 44.03874854840879 54.41753533285168 -10.3787867844429
129.4477314574877 44.03874854840879 0 0 44.03874854840879 54.41753533285168 -10.3787867844429
128.8615391189122 44.07582405060884 0 0 44.07582405060884 54.45461083505174 -10.3787867844429
128.8615391189122 44.07582405060884 0 0 44.07582405060884 54.45461083505174 -10.3787867844429
129.1885967026911 44.05373552881036 0 0 44.05373552881036 54.43252231325327 -10.3787867844429
129.1885967026911 44.05373552881036 0 0 44.05373552881036 54.43252231325327 -10.3787867844429
129.1885967026911 44.05373552881036 0 0 44.05373552881036 54.43252231325327 -10.3787867844429
128.7132400147254 44.08004392635 0 0 44.08004392635 54.4588307107929 -10.3787867844429
128.7132400147254 44.08004392635 0 0 44.08004392635 54.4588307107929 -10.3787867844429
128.4201300407894 44.10367109701836 0 0 44.10367109701836 54.48245788146127 -10.3787867844429
128.4201300407894 44.10367109701836 0 0 44.10367109701836 54.48245788146127 -10.3787867844429
128.4201300407894 44.10367109701836 0 0 44.10367109701836 54.48245788146127 -10.3787867844429
129.0931009381895 44.14926494884223 0 0 44.14926494884223 54.52805173328513 -10.3787867844429
128.8258302441117 44.10320021128408 0 0 44.10320021128408 54.48198699572697 -10.3787867844429
128.8258302441117 44.10320021128408 0 0 44.10320021128408 54.48198699572697 -10.3787867844429
128.8258302441117 44.10320021128408 0 0 44.10320021128408 54.48198699572697 -10.3787867844429
128.8258302441117 44.10320021128408 0 0 44.10320021128408 54.48198699572697 -10.3787867844429
128.8258302441117 44.10320021128408 0 0 44.10320021128408 54.48198699572697 -10.3787867844429
128.8258302441117 44.10320021128408 0 0 44.10320021128408 54.48198699572697 -10.3787867844429
129.4610371458044 44.1097797622933 0 0 44.1097797622933 54.48856654673619 -10.3787867844429
129.4610371458044 44.1097797622933 0 0 44.1097797622933 54.48856654673619 -10.3787867844429
129.2544139722025 44.09928591529412 0 0 44.09928591529412 54.47807269973702 -10.3787867844429
128.3280542073215 44.04917167367293 0 0 44.04917167367293 54.42795845811583 -10.3787867844429
129.0101602221618 43.93291761389332 0 0 43.93291761389332 54.31170439833623 -10.3787867844429
128.6543926237368 43.89693629130831 0 0 43.89693629130831 54.27572307575121 -10.3787867844429
129.4897580313887 43.83691469239618 0 0 43.83691469239618 54.21570147683907 -10.3787867844429
129.4897580313887 43.83691469239618 0 0 43.83691469239618 54.21570147683907 -10.3787867844429
129.4695724784148 43.82378110382712 0 0 43.82378110382712 54.20256788827001 -10.3787867844429
