domain units: sec
measurement data type: double
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (sec): [0, 4)
support bounds (sec): [0, 4)support indexes: [0, 4096)
---------------
domainValue measuredValue
0 -0.7873798573758457
0.0009765625 -1.281326498330595
0.001953125 -1.049263020450366
0.0029296875 -0.5388863576388666
0.00390625 -0.8598316009558551
0.0048828125 -0.9419513878404349
0.005859375 -0.2968344700118311
0.0068359375 -0.2696515677288402
0.0078125 -0.5859358828773882
0.0087890625 -0.07530751627825821
0.009765625 0.3185115345504026
0.0107421875 -0.03367684571097442
0.01171875 0.1506589363178063
0.0126953125 0.7662082711602817
0.013671875 0.5897380084807609
0.0146484375 0.4108743984573417
0.015625 0.9902866010520572
0.0166015625 1.104650149656937
0.017578125 0.6940367760782844
0.0185546875 0.9966053151330857
0.01953125 1.365640122203749
0.0205078125 0.9479840064304469
0.021484375 0.8598933095290495
0.0224609375 1.296653883647838
0.0234375 1.055289953075151
0.0244140625 0.6154107542478462
0.025390625 0.9229411433116665
0.0263671875 0.9703584810162841
0.02734375 0.3801071514505437
0.0283203125 0.4059771863490731
0.029296875 0.6549506508427749
0.0302734375 0.1444707115573799
0.03125 -0.1672615763305157
0.0322265625 0.1235866231279473
0.033203125 -0.1033764177783391
0.0341796875 -0.6398028560463546
0.03515625 -0.4729850621505315
0.0361328125 -0.3744384745992483
0.037109375 -0.9201275193676944
0.0380859375 -0.9916570639268917
0.0390625 -0.6732028614042156
0.0400390625 -1.005078124342343
0.041015625 -1.253243772041702
0.0419921875 -0.8655275916371714
0.04296875 -0.8667487818315165
0.0439453125 -1.267884931582988
0.044921875 -1.031047018424163
0.0458984375 -0.6576712155174621
0.046875 -1.013150388898093
0.0478515625 -0.9698808241381465
0.048828125 -0.4654194772266174
0.0498046875 -0.531027594796754
0.05078125 -0.5944189495135128
0.0517578125 -0.212199593968038
0.052734375 -0.001987787302591204
0.0537109375 -0.2546123194319657
0.0546875 0.0437433613376643
0.0556640625 0.5217761175585992
0.056640625 0.3180448845978393
0.0576171875 0.3092231846720868
0.05859375 0.7142276081459927
0.0595703125 0.896595299376465
0.060546875 0.5632566815011716
0.0615234375 0.8581164514358873
0.0625 1.24211986212194
0.0634765625 0.8304171371305963
0.064453125 0.9380630409490816
0.0654296875 1.119049739346812
0.06640625 0.9580749784978316
0.0673828125 0.7926843165997611
0.068359375 0.9147973150088256
0.0693359375 1.006489497583267
0.0703125 0.5509634332089959
0.0712890625 0.5761495010117135
0.072265625 0.8032921028800508
0.0732421875 0.3677616142454317
0.07421875 0.03482546667425392
0.0751953125 0.2730142457120168
0.076171875 0.05383386046809838
0.0771484375 -0.3343590759482853
0.078125 -0.169374186032504
0.0791015625 -0.2557573559619283
0.080078125 -0.5933171353129271
0.0810546875 -0.7410887203566509
0.08203125 -0.675997964045284
0.0830078125 -0.7827401722265964
0.083984375 -0.9120959653127335
0.0849609375 -0.8787316534022568
0.0859375 -0.9231420780411627
0.0869140625 -0.9883318588569376
0.087890625 -0.7992826366342353
0.0888671875 -0.7925153106096158
0.08984375 -1.151441989467597
0.0908203125 -0.8416758863781441
0.091796875 -0.8435411223228592
0.0927734375 -0.8268046453672622
0.09375 -0.3735765466219546
0.0947265625 -0.3157803675411466
0.095703125 -0.1519258820159853
