domain units: Hz
measurement data type: std::complex<double>
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (Hz): [0, 512.25)
support bounds (Hz): [20, 512)support indexes: [80, 2048)
---------------
domainValue measuredValue
0 (0,0)
0.25 (0,0)
0.5 (0,0)
0.75 (0,0)
1 (0,0)
1.25 (0,0)
1.5 (0,0)
1.75 (0,0)
2 (0,0)
2.25 (0,0)
2.5 (0,0)
2.75 (0,0)
3 (0,0)
3.25 (0,0)
3.5 (0,0)
3.75 (0,0)
4 (0,0)
4.25 (0,0)
4.5 (0,0)
4.75 (0,0)
5 (0,0)
5.25 (0,0)
5.5 (0,0)
5.75 (0,0)
6 (0,0)
6.25 (0,0)
6.5 (0,0)
6.75 (0,0)
7 (0,0)
7.25 (0,0)
7.5 (0,0)
7.75 (0,0)
8 (0,0)
8.25 (0,0)
8.5 (0,0)
8.75 (0,0)
9 (0,0)
9.25 (0,0)
9.5 (0,0)
9.75 (0,0)
10 (0,0)
10.25 (0,0)
10.5 (0,0)
10.75 (0,0)
11 (0,0)
11.25 (0,0)
11.5 (0,0)
11.75 (0,0)
12 (0,0)
12.25 (0,0)
12.5 (0,0)
12.75 (0,0)
13 (0,0)
13.25 (0,0)
13.5 (0,0)
13.75 (0,0)
14 (0,0)
14.25 (0,0)
14.5 (0,0)
14.75 (0,0)
15 (0,0)
15.25 (0,0)
15.5 (0,0)
15.75 (0,0)
16 (0,0)
16.25 (0,0)
16.5 (0,0)
16.75 (0,0)
17 (0,0)
17.25 (0,0)
17.5 (0,0)
17.75 (0,0)
18 (0,0)
18.25 (0,0)
18.5 (0,0)
18.75 (0,0)
19 (0,0)
19.25 (0,0)
19.5 (0,0)
19.75 (0,0)
20 (1.513183419954365,-0.4164894864953761)
20.25 (0.4084331864454868,0.4485797651236434)
20.5 (1.526556613355244,0.5570317169924142)
20.75 (-0.8749089581756454,0.5372673656734739)
21 (-1.935183989226998,-0.05209507700051021)
21.25 (3.295585918241127,-0.4235832082102533)
21.5 (-1.501489220818196,-0.09426903423356273)
21.75 (-1.212733383194286,-0.2715901600281799)
22 (-0.6622610753330466,-0.3920487922897622)
22.25 (1.129853439372934,1.633665207601236)
22.5 (-0.507814666424934,-0.3564818212812236)
22.75 (-1.751017763685323,-1.257024127632832)
23 (-0.06639937960927941,-1.252156709625444)
23.25 (0.9290467164773013,0.3166532162379945)
23.5 (-0.4803209730170072,-0.3741693685932441)
23.75 (0.5415515847669591,1.024091069594793)
24 (1.693394262794565,0.9280502545255425)
24.25 (-0.4460975370165179,-1.96668138946496)
24.5 (-0.05939332715030827,0.1096641711185005)
24.75 (0.4353210371037354,1.593418334176014)
25 (0.1309397948979834,0.411369262644083)
25.25 (0.004771482661746239,0.655395445703966)
25.5 (-0.1342276205164218,-0.388030446060097)
25.75 (-1.522410228645667,0.2629418666627776)
26 (-0.5725488740726133,-0.1131637038024192)
26.25 (1.009827575655428,0.1211282744510036)
26.5 (0.5671733985857307,0.5370450483940987)
26.75 (-0.4434104531610077,-1.114329763279128)
27 (1.033145423739297,0.0658656476801284)
27.25 (-0.7774246308734585,0.5262728034509579)
27.5 (0.1537641963101889,-0.4314434441007856)
27.75 (-0.342320500209397,0.03953271855569518)
28 (1.42935915132521,0.7123757183471521)
28.25 (-1.057396107682355,-1.419584472547751)
28.5 (0.3701035339906313,-1.02393099178216)
28.75 (-0.8200873000975627,-1.656161786703615)
29 (0.2866328101873504,0.7657981379878914)
29.25 (-0.4672780084401427,0.351868321139057)
29.5 (-0.3869936909423711,-0.7666907859672123)
29.75 (0.660398294807525,1.602071688975699)
30 (-1.063956610447208,0.2886684527933037)
30.25 (1.075006607831954,0.6536228173895678)
30.5 (-2.11582209187593,0.6390404977956764)
30.75 (1.922545766148547,0.6076408263313225)
31 (-0.2434972958495194,0.06491300952561334)
31.25 (2.669213484029247,-0.7829831954359062)
31.5 (-2.251610587157867,1.757815437854042)
31.75 (1.999601258397942,-2.227581786271688)
32 (-1.377109739944742,-1.042988451240496)
32.25 (-0.3793468636925941,3.020072939180373)
32.5 (-0.6037748105239886,-0.04802714430417138)
32.75 (-0.4301575936406503,-1.319461433893694)
33 (-0.8596695317900449,-2.105466231864284)
33.25 (2.02731123693082,0.368622655426768)
33.5 (-1.069669013089774,0.623467771957095)
33.75 (1.484104380725229,0.3922617214295082)
34 (-0.9688257477048419,-1.244679156244036)
34.25 (0.5790397790003223,0.6231474313902818)
34.5 (-2.007253232940261,0.1645734239885221)
34.75 (2.231917658548082,0.6183947176564768)
35 (0.08500284390076897,-1.870371004519282)
35.25 (-1.167200773932353,1.270787437413792)
35.5 (0.01797701169900323,0.650594729519735)
35.75 (0.5055171364064054,0.6950660985416368)
36 (-0.6878486525933799,0.5559632049485221)
36.25 (1.118032844899393,0.3707170923340315)
36.5 (-0.4521603471170729,-1.946847065762162)
36.75 (0.6887009292311366,0.4211533020804962)
37 (0.1098257468950053,-0.9052197967049683)
37.25 (-0.9365589463162468,-0.6361962620999495)
37.5 (1.436431922043135,-0.752045419256908)
