domain units: Hz
measurement data type: std::complex<double>
segment length (sec): 4
sampling rate (Hz): 1024
domain bounds (Hz): [0, 512.25)
support bounds (Hz): [20, 512)support indexes: [80, 2048)
---------------
domainValue measuredValue
0 (0,0)
0.25 (0,0)
0.5 (0,0)
0.75 (0,0)
1 (0,0)
1.25 (0,0)
1.5 (0,0)
1.75 (0,0)
2 (0,0)
2.25 (0,0)
2.5 (0,0)
2.75 (0,0)
3 (0,0)
3.25 (0,0)
3.5 (0,0)
3.75 (0,0)
4 (0,0)
4.25 (0,0)
4.5 (0,0)
4.75 (0,0)
5 (0,0)
5.25 (0,0)
5.5 (0,0)
5.75 (0,0)
6 (0,0)
6.25 (0,0)
6.5 (0,0)
6.75 (0,0)
7 (0,0)
7.25 (0,0)
7.5 (0,0)
7.75 (0,0)
8 (0,0)
8.25 (0,0)
8.5 (0,0)
8.75 (0,0)
9 (0,0)
9.25 (0,0)
9.5 (0,0)
9.75 (0,0)
10 (0,0)
10.25 (0,0)
10.5 (0,0)
10.75 (0,0)
11 (0,0)
11.25 (0,0)
11.5 (0,0)
11.75 (0,0)
12 (0,0)
12.25 (0,0)
12.5 (0,0)
12.75 (0,0)
13 (0,0)
13.25 (0,0)
13.5 (0,0)
13.75 (0,0)
14 (0,0)
14.25 (0,0)
14.5 (0,0)
14.75 (0,0)
15 (0,0)
15.25 (0,0)
15.5 (0,0)
15.75 (0,0)
16 (0,0)
16.25 (0,0)
16.5 (0,0)
16.75 (0,0)
17 (0,0)
17.25 (0,0)
17.5 (0,0)
17.75 (0,0)
18 (0,0)
18.25 (0,0)
18.5 (0,0)
18.75 (0,0)
19 (0,0)
19.25 (0,0)
19.5 (0,0)
19.75 (0,0)
20 (1.052264952983872e-22,-1.496460756482521e-22)
20.25 (1.925194639262141e-22,-8.966812156186481e-24)
20.5 (3.646447953327412e-22,-3.64123134012672e-22)
20.75 (4.674881084496762e-22,-1.996604133585022e-21)
21 (-4.395649226979643e-22,9.520264879320315e-23)
21.25 (-4.355325537777077e-22,-1.611471438364813e-24)
21.5 (-1.085639173021099e-21,3.811283840821932e-22)
21.75 (1.03942830180817e-21,4.74053345452147e-22)
22 (8.529217961781338e-22,1.659392699316032e-22)
22.25 (8.168475216625904e-22,8.240069176638287e-22)
22.5 (-1.805866913799092e-22,3.737308701208151e-22)
22.75 (-3.615646776059911e-22,-4.116413491435212e-22)
23 (-1.971357427226571e-22,3.280119137335349e-22)
23.25 (-2.870539258665151e-22,-3.035747754411698e-22)
23.5 (-5.0180926498775e-22,-1.093117274576913e-22)
23.75 (2.255275719978206e-22,-3.467248984124928e-22)
24 (1.671566521807661e-22,-5.307977143111343e-23)
24.25 (7.950204743872595e-23,1.439967888735284e-22)
24.5 (-3.382609636653886e-22,-2.321670779644782e-22)
24.75 (-9.35850285060109e-23,7.921873308032391e-23)
25 (5.099057254863502e-23,1.094910558983627e-22)
25.25 (1.065079250573607e-22,-5.255456423970301e-23)
25.5 (-8.669967172142255e-24,7.088202373682243e-23)
25.75 (4.874436696260354e-23,1.370077370879975e-22)
26 (-2.733392884865331e-23,-5.591495909429362e-23)
26.25 (1.102757244266715e-22,-4.446359892018403e-23)
26.5 (-1.090268021643079e-22,7.847857788618403e-24)
26.75 (7.281561704048588e-23,7.299836128684575e-23)
27 (-1.006689013167234e-22,-1.491871539791215e-22)
27.25 (2.059118531408508e-23,3.051769765232471e-23)
27.5 (4.212352771858721e-23,-1.273405765240257e-23)
27.75 (4.231566238034496e-23,6.345391171971814e-23)
28 (-5.203200528341162e-23,-2.264518532820635e-23)
28.25 (5.435122190646931e-23,-7.093261999265025e-23)
28.5 (1.977306102094314e-23,3.877998342355197e-23)
28.75 (7.957638569921769e-25,2.034868348963592e-23)
29 (-1.879363045749421e-24,-2.022147490014912e-23)
29.25 (-5.171801031385948e-23,-5.031156158970918e-23)
29.5 (-2.764425183787317e-23,2.896539014632464e-23)
29.75 (-1.680399886594016e-24,2.217907925691283e-23)
30 (-4.067634334017634e-23,9.573397976092893e-24)
30.25 (6.389239268161145e-23,-4.316179732672875e-24)
30.5 (5.960131921570008e-24,1.867583404813132e-23)
30.75 (-5.785960372162574e-24,2.206601061110576e-23)
31 (5.321999240952426e-24,-4.00047083738275e-23)
31.25 (-1.94383284747635e-23,-2.317424806549009e-24)
31.5 (5.186190876736139e-23,2.962253552494071e-23)
31.75 (-2.356586405267641e-23,-4.24593631330055e-23)
32 (4.429765148607495e-23,3.294917486368048e-24)
32.25 (-4.064574921801962e-23,4.63467404678086e-25)
32.5 (-1.426126856048594e-23,1.695263881837328e-23)
32.75 (-2.446047274761528e-23,1.075942837414617e-23)
33 (2.489501049159776e-23,-1.226785600812938e-24)
33.25 (-3.989803697965626e-23,1.564422474942512e-23)
33.5 (5.384380405359427e-23,-4.577461340129233e-24)
33.75 (-1.292604021168535e-24,4.450577404453404e-23)
34 (5.093741227564591e-24,-4.01325152191059e-23)
34.25 (-2.002477260084484e-23,-6.940551033129031e-24)
34.5 (-2.014061096924976e-23,-1.96290253437424e-23)
34.75 (2.256757406084461e-23,-9.704194691360348e-24)
35 (-2.887875949619643e-23,-6.49043890911306e-24)
35.25 (-1.282533705059493e-23,5.217709682390299e-25)
35.5 (3.002908066829918e-23,6.13733957903183e-24)
35.75 (-1.009623067580418e-23,4.818015699092016e-24)
36 (2.612496463987561e-23,2.601982626650213e-23)
36.25 (-2.83027179588633e-23,1.366733813922732e-23)
36.5 (-4.810444707757241e-24,1.290477997116313e-23)
