# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-5.165917978626666052e-06 -3.896648639083493766e-06 -3.177807371238296670e-06 -2.533057155983780966e-06 -1.306772171822499996e-06
-5.393424029140054914e-06 -4.152362588139272192e-06 -3.486955511113143173e-06 -2.763402578180395059e-06 -1.387131290299324743e-06
-5.435209012565312481e-06 -4.235633232305623889e-06 -3.607816372384776671e-06 -2.908121424235256573e-06 -1.733635425202747373e-06
-5.371196134950478625e-06 -4.144963722006339647e-06 -3.432843342427899313e-06 -2.743434299670544183e-06 -1.213046672767826444e-06
-5.119850334387770344e-06 -3.822515596690797368e-06 -3.181101805497915196e-06 -2.416447190366663344e-06 -1.217901339992403395e-06
-4.633446979291438443e-06 -3.360980342573093744e-06 -2.698177510256212013e-06 -1.851090750686407186e-06 -5.044213597384649951e-07
-3.762546937845836816e-06 -2.791013448660703185e-06 -1.934626628918300715e-06 -1.182869788262345826e-06 -1.165786308290425852e-07
-2.926706850088443728e-06 -1.921876602979345645e-06 -1.121095795890028809e-06 -3.654427375511423665e-07 6.900892670004425700e-07
-2.078753887601970666e-06 -1.000029682341198053e-06 -2.415387178555309465e-07 4.374803781995026944e-07 1.613916679063441668e-06
-1.093686237004098954e-06 8.878114110355993688e-09 6.796280148861886340e-07 1.267030380318145561e-06 2.498714276573584043e-06
-2.422790460066068073e-07 9.249162899510369842e-07 1.550038961421034420e-06 2.088616018107332712e-06 3.173972751610134308e-06
5.525121538111743802e-07 1.691259163852143097e-06 2.307968848029503259e-06 2.770069047150478380e-06 3.786109873188762327e-06
1.002513783951960695e-06 2.319134201350917525e-06 2.836631042640617614e-06 3.402377837427344843e-06 4.330556733864509939e-06
1.575894899531991161e-06 2.745866463873757092e-06 3.297261747729655367e-06 3.872650864701819157e-06 4.891938540224258915e-06
1.293478530131123904e-06 2.971071882371010264e-06 3.495924340346314132e-06 4.117196277940953750e-06 5.072506437724705809e-06
1.296208932743251269e-06 2.988617479241852520e-06 3.512674090582758331e-06 4.148945028928852586e-06 5.036450591930954428e-06
1.267728515397824002e-06 2.745978332671645683e-06 3.339328877696950972e-06 3.927555601884296126e-06 4.909048879059759754e-06
1.067506609608997302e-06 2.238474913958795332e-06 2.954378753716827405e-06 3.528967465760939715e-06 4.352951677882745994e-06
3.807487533796874363e-07 1.558122331051912496e-06 2.285869215995685779e-06 2.880769950248314972e-06 3.617440913218901638e-06
-4.473321386270076120e-07 8.203714089549541087e-07 1.524015727676328196e-06 2.110666004481062089e-06 2.919811004005120824e-06
-1.029297638106063077e-06 3.964336500895644721e-08 6.084350331145110151e-07 1.202245742922886675e-06 2.039869686082369812e-06
-1.987308464578886257e-06 -8.955557941020213031e-07 -3.475920728983600234e-07 1.625399936084978014e-07 1.138811778230475715e-06
-2.840348820186775636e-06 -1.758907012070805846e-06 -1.239471389942961576e-06 -7.319507410219768796e-07 4.365024806683652378e-07
-3.334929427536051740e-06 -2.507943419490175648e-06 -2.036594163209440557e-06 -1.519291379858749921e-06 -2.794210852381490456e-07
-4.115422162508963618e-06 -3.117223364113538874e-06 -2.677492969307471689e-06 -2.158719539135668439e-06 -9.965454358980947111e-07
-4.657122632375785949e-06 -3.639713780055094490e-06 -3.129525391894420367e-06 -2.589607481621066666e-06 -1.566129481776476617e-06
-4.946090183143172738e-06 -3.898896239330029945e-06 -3.375259346974265151e-06 -2.753627589637671189e-06 -1.824260966342047271e-06
-4.996856393781744564e-06 -3.970383904695688682e-06 -3.368568420932772620e-06 -2.743440855610004686e-06 -1.624577745969567836e-06
-4.712895672074509027e-06 -3.787423879044218354e-06 -3.129968396004212103e-06 -2.587591944849850611e-06 -1.682046939017399398e-06
-4.567413984901161318e-06 -3.284296971294372078e-06 -2.718406413969934846e-06 -2.234259650045095502e-06 -1.254360021569725094e-06
-3.692867383985235044e-06 -2.629925306577701575e-06 -2.113911533551223218e-06 -1.640339896521831670e-06 -3.961761498134812290e-07
-2.993257630110078320e-06 -1.887751069005426953e-06 -1.399328693179930227e-06 -8.824103217055126657e-07 2.220702408022867375e-07
