# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-3.643667026217046610e-04 -2.087979829044657855e-05 1.560555641431120495e-04 3.261350902034187028e-04 5.226435607825787293e-04
-2.102919056080785004e-04 1.594943219073950420e-04 3.956364199323440974e-04 5.838669765630674418e-04 7.842350022864715648e-04
-1.339214960862195828e-04 2.996559287440468547e-04 5.703090258233455955e-04 7.493174240670195593e-04 9.913373183164976305e-04
-4.145784160954255038e-04 -1.070019729981305264e-04 1.192819443630131483e-04 3.188255430892184103e-04 5.596037513174678636e-04
-5.033413842541038276e-04 -1.575224743284885153e-04 8.548351327654460678e-05 3.060872036321083799e-04 5.032755715430615442e-04
-2.783313814089942201e-04 9.211668226193624762e-05 4.000525279309501744e-04 6.205801727156987557e-04 8.745451085104522610e-04
-4.745406026087836400e-04 -1.801000627894376442e-04 8.881557662410513587e-05 3.327327186358364111e-04 6.473408258023115617e-04
-7.188488301252701860e-04 -4.382575187142956396e-04 -2.108514101255247052e-04 2.323859474681881484e-06 2.450143209818113300e-04
-5.124304026640231352e-04 -2.200803090094921143e-04 1.021572015245464447e-04 3.364162546118462812e-04 6.445536329046276528e-04
-4.966681380739972453e-04 -2.214261752251282616e-04 7.463230666914560311e-05 3.044482387818664274e-04 6.255378405695385729e-04
-8.212374206442749980e-04 -5.897290219953078014e-04 -4.041026795454805837e-04 -1.517535636338729137e-04 1.151010513792920372e-04
-7.505773486937937760e-04 -5.204257724931671226e-04 -2.897902459982278664e-04 -4.356059497989100819e-05 2.771891295118794705e-04
-5.803035826843306938e-04 -3.043597484694529512e-04 -3.933170908595720789e-05 1.706772368319475460e-04 4.510309094161084418e-04
-8.603148026382299038e-04 -6.568468832012776216e-04 -4.563136764073160833e-04 -2.168637646263217047e-04 3.889206463372392328e-05
-1.005388829056683619e-03 -8.101793508596412093e-04 -5.871482501571241922e-04 -4.169403151222643043e-04 -9.322805863836998008e-05
-7.121055646747763250e-04 -4.733806403036964821e-04 -2.644964951695382089e-04 -5.004436305807775958e-05 1.917448752288050521e-04
-8.027154829966363534e-04 -6.075126298060935012e-04 -4.128796237001993992e-04 -2.139981204157506331e-04 5.418833625098768282e-05
-1.112260936656304065e-03 -9.681876610508133914e-04 -7.362837303889130987e-04 -5.829294797038365918e-04 -2.316982857093032922e-04
-8.905923495057292087e-04 -6.408869144580103079e-04 -4.745069650422749060e-04 -3.092231637194148329e-04 -1.914838682448875154e-05
-7.162329032173120552e-04 -5.276020665748704618e-04 -3.328097532835194283e-04 -1.713860595860321418e-04 7.987940437333978399e-05
-1.122154811248609945e-03 -9.294324055776550120e-04 -7.199400098635819244e-04 -5.466559721826880344e-04 -1.810714173893713174e-04
-1.081784519867209525e-03 -8.674116974188659374e-04 -6.891940874075518607e-04 -4.996514562468745268e-04 -8.017264720014433837e-05
-7.021128928771612748e-04 -5.021072100814738190e-04 -3.183634790709007891e-04 -1.373741917283678856e-04 1.765660828167463703e-04
-9.937535626733421616e-04 -7.614531079465641653e-04 -5.702077195389758033e-04 -3.554915237013101708e-04 1.455087392082017029e-05
-1.178618913427366497e-03 -9.581778778015581644e-04 -7.627101150296962655e-04 -5.391184557817747325e-04 -4.389123307988855729e-05
-7.694934621673906209e-04 -5.571300289364179053e-04 -3.504231491391459545e-04 -1.041470566397952480e-04 2.242872137152664201e-04
-7.242021612992817275e-04 -5.196944600927460352e-04 -3.070118971218299946e-04 -7.718998043092315658e-05 3.822519422650146135e-04
-1.096518755534712153e-03 -8.655185280706046216e-04 -6.513559061479554449e-04 -3.522778059611181723e-04 1.552477010400679148e-04
-8.885210090615326380e-04 -5.920375905095952252e-04 -3.321654705971367142e-04 -6.039004261986580322e-05 3.490980030558133579e-04
-4.885726396333005869e-04 -2.686099234266408741e-04 -3.394510517870773117e-05 2.230159743327755580e-04 5.794446870040309517e-04
-8.352706730707441492e-04 -5.839364595001219401e-04 -3.203701229665430867e-04 3.242743397442142807e-05 4.245383836118586077e-04
