injection	median	maxL	fairdraw
0.002535905356064177	0.0011309547902066091	0.0026891852700709554	0.0005581102845229266
0.005113402097617613	0.0033258435951501373	0.006054981333886777	0.006517989024036963
0.0033695166798549713	0.0027403853893052145	0.004452408244896714	0.0071310901462794205
-0.0011748195754346206	-0.00011577714872404747	-0.0008050889779208387	0.0018955016332183822
-0.004630897603472871	-0.0030062469454670993	-0.005403536284307769	-0.00489412972246075
-0.004251874948919159	-0.003247442736837886	-0.005568386311689551	-0.007669094831709119
-0.0005078019733665571	-0.001318863848452473	-0.0011630183143602896	-0.00415353015638791
0.0036175932635112507	0.002043242257769662	0.00419795853178284	0.0027687588673909703
0.004897849423143577	0.0035410823280268783	0.006114627972658581	0.007419236047346669
0.0021947931480285213	0.0022123046139897722	0.003013146636104993	0.005983017827228458
-0.002431511034135252	-0.0010575163359994037	-0.00256178679630765	-0.00036080579997669964
-0.0050978342963092105	-0.003636492008132898	-0.0060348869675497414	-0.006406841718482935
-0.003459248017309134	-0.0027719146627497304	-0.004555394734578203	-0.0071955299159149385
0.001052495111712026	-2.6582189652444015e-05	0.0006628166048078758	-0.002082346497036736
0.004578388020752727	0.0029155990791307133	0.00533721679026299	0.004735932314099975
0.0043123712869570585	0.00317024453528378	0.0056314552073267795	0.007666988123352317
0.0006298438504910553	0.001394761663712584	0.001304116258553617	0.0043099280639355385
-0.0035336932787897	-0.001991758862210872	-0.0040931820127184364	-0.002579088372474443
-0.00491832737856112	-0.0035466617043958407	-0.006130919683122458	-0.007350265367582262
-0.0023023005822904166	-0.0021930554702614046	-0.0031371732690355144	-0.006092998933130827
0.002322870439034561	0.000984577549294725	0.002430523846026677	0.00015963797803822486
0.005075407597756304	0.0035109305732702904	0.006002676813519293	0.006279337906456686
0.0035419053982384653	0.0027293237691406224	0.004648315861604009	0.007247818486559443
-0.0009312342669925394	7.255136215740293e-05	-0.0005199968457855197	0.0022721009361119046
-0.004517046479489095	-0.002914896834278497	-0.0052601787874091656	-0.004565132606101675
-0.0043609302117651304	-0.003171281824355273	-0.005682692009415423	-0.007655231288022715
-0.0007491128094692064	-0.0014513901761069206	-0.001442258178908566	-0.004465532424644316
0.003440358813758944	0.0018539276512180916	0.003980009748403713	0.002384046013531229
0.004927240945478932	0.003447619213893493	0.006134564018386961	0.007273734030572892
0.0024068903029529055	0.002264132265896471	0.0032549442672978957	0.006195932529370742
-0.002208248512236859	-0.000882723734468903	-0.0022939257195686417	3.9633708532605706e-05
-0.005045102655198647	-0.003412006600840675	-0.005958124792273431	-0.006144161610566642
-0.0036199939485739435	-0.002777000185058073	-0.004732317197986993	-0.007286996225298698
0.0008097036195025887	-0.00016778098804207402	0.00037523398968382143	-0.002456138536220804
0.004450315009019594	0.002788003711897014	0.00517211902225991	0.004385005024079913
0.004401607774139595	0.003223877680953084	0.005723237087628744	0.007627895165686075
