# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-1.919766431204726056e-03 -1.596824336848551599e-03 -1.308020509557745840e-03 -4.538289861984917727e-04 6.100804092193914865e-04
-1.894678760556694781e-03 -1.576226260142665021e-03 -1.213299081844280199e-03 -3.142449809963230559e-04 7.825771941274878600e-04
-1.873040136592231961e-03 -1.533915138295131268e-03 -1.113600162384876125e-03 -1.421203281411005832e-04 9.340719397164309401e-04
-1.838887134083182695e-03 -1.477496652367395365e-03 -9.540314784091204117e-04 1.077557258552574888e-05 1.111953598515962429e-03
-1.787975232178203554e-03 -1.363033057838305149e-03 -8.494957477231254109e-04 1.776412347488581583e-04 1.189827328055148223e-03
-1.707600561346331487e-03 -1.258185757819945891e-03 -7.050131710010286521e-04 4.070120163511765964e-04 1.356926710495382198e-03
-1.630919669512869178e-03 -1.121045172599292915e-03 -5.342603156371762783e-04 5.919126444316600471e-04 1.492296485428203003e-03
-1.561993035981582966e-03 -9.860689678745158775e-04 -3.740289530886982319e-04 7.546443724628179193e-04 1.643692546458484782e-03
-1.435873603003349347e-03 -8.574392422026850874e-04 -1.777300573479561577e-04 9.051720925592702388e-04 1.725184652464123143e-03
-1.411487003635390064e-03 -6.795653661472713866e-04 4.629834337886674575e-05 1.011662839461094148e-03 1.793352292958506856e-03
-1.274308729765830052e-03 -4.794339348955978697e-04 2.401791153951281915e-04 1.092649775178381778e-03 1.804157233859697259e-03
-1.212221898948352044e-03 -2.640394177919856700e-04 3.961903882685742333e-04 1.166876471849869141e-03 1.818531483704285577e-03
-1.024854237492652236e-03 -7.073950071524425236e-05 6.129094075581523974e-04 1.256711945249300039e-03 1.905578959104182145e-03
-7.798433623416836831e-04 1.096250103658299882e-04 7.779646774925720468e-04 1.332999260063267005e-03 1.964643954718284756e-03
-5.490893832936037796e-04 3.174526745720585540e-04 8.866815988491406897e-04 1.370813982902474495e-03 1.951400028708997038e-03
-3.511605047243088347e-04 4.618743930011889680e-04 9.723506281995457400e-04 1.421610893735912769e-03 1.947555112005629500e-03
-1.666119363446489190e-04 5.826218862709628323e-04 1.074468015456986683e-03 1.461370773207058089e-03 1.873922966845186248e-03
-8.942472452918601253e-06 7.099521079697803825e-04 1.146484156326306198e-03 1.508166091402434687e-03 1.855331567819417998e-03
1.132306193685848878e-04 7.863971054163106491e-04 1.215683347049275557e-03 1.536578155693172146e-03 1.874449714727518526e-03
2.048974790575251013e-05 8.956853079736489844e-04 1.269053358467750513e-03 1.566325209846498824e-03 1.883434420450249289e-03
1.064202307813529182e-04 9.326526639538658056e-04 1.280811612425841566e-03 1.572999426900682611e-03 1.883443396819801680e-03
-1.723846447688745642e-05 9.304286403649516743e-04 1.321882468866988555e-03 1.596456092295701467e-03 1.926561356060295426e-03
-1.834751076804190257e-04 9.204444674640038923e-04 1.335174758786521632e-03 1.592256182683444553e-03 1.947608261682804093e-03
-3.253297055406316842e-04 8.611124739780765458e-04 1.345519421937531020e-03 1.615862387348176565e-03 1.965160524802118513e-03
-4.601584651806916093e-04 7.232583562099333552e-04 1.361386280034348594e-03 1.628542277141254140e-03 1.944367991875089238e-03
-5.858985756324907365e-04 6.149827193610695472e-04 1.351372930367358231e-03 1.619198647206717551e-03 1.921791811226833922e-03
