injected_SNR residual_SNR_maxL residual_SNR_rd residual_SNR_med
40.0 6.681272066485662 3.0331627395128384 2.395732065323303
50.0 6.981652738032507 4.0506158699242665 2.7409277825901954
5.0 7.975303728732259 8.710266001508877 4.9999597330259276
10.0 8.204766805126692 7.625102031948386 5.5456782947068595
20.0 7.696385195119384 6.096741521574966 5.198981058133846
30.0 4.768820239479043 7.654003698223653 6.566516513019107
40.0 5.45299027625756 7.223635150408278 5.006350317053029
50.0 5.315266773864014 7.336528972339724 4.999683830541643
5.0 9.433445742458069 5.9823330646448305 4.999939406747786
10.0 6.173530963490109 5.107087653102964 3.89538526341831
20.0 6.430340154046075 4.694599177314281 3.9015367391921076
30.0 4.9506931130221945 5.734991460562434 4.384123746779809
40.0 5.015137350181593 6.664399889355426 4.660877999553862
50.0 5.084637103516634 5.849387996859819 5.0666459426897665
5.0 6.717714970348499 4.807186708023963 2.6986240987116084
10.0 7.418450056017883 4.645259916407824 3.5835463479371557
20.0 6.212237227598745 5.846869329406818 5.102695642858814
30.0 4.051223197240078 4.730714998752776 3.500616007738823
40.0 4.012339953886093 5.769804287251135 3.825954583260721
50.0 4.076099628778452 6.044972859773069 3.958566257197983
5.0 7.310272747483359 5.598677689320644 4.999205475393814
10.0 4.440081867700219 5.7748025119746975 3.916771494092002
20.0 5.177476537626155 5.841704819603648 2.6167541570852166
30.0 5.487577540109838 4.174005389359293 2.7084129145295393
40.0 5.797030461623044 4.619861671075673 2.7493154979860144
50.0 5.6663872780407925 5.04845620340004 2.933338855141918
5.0 7.830230426893667 6.969448885056272 4.229439433221862
10.0 9.172767140753729 8.197554337959719 6.213562883011476
20.0 7.1635788725023835 6.724425410133044 5.135783951941039
30.0 4.041064730809206 6.014068500137077 3.4750294980888103
40.0 3.80164069000031 4.77419749118779 3.647500618317555
50.0 3.9729897650191823 4.335697860022717 3.5164643412669023
5.0 6.70443459423695 5.094944414861666 4.995020960339103
10.0 6.87336659793726 4.005999573014078 2.592910441383476
20.0 8.019443404438062 5.895567315175091 4.758657681049974
30.0 6.013520867292489 5.407204419618759 4.4435763948075016
40.0 6.739280031028301 4.322154303932352 4.274515354396805
50.0 6.472369371474532 5.374709051247518 4.707854567456901
5.0 6.756273730952434 6.537566563243553 4.999795637989566
10.0 4.082158006626082 7.876792700521972 5.441767937125746
20.0 3.683280623056127 4.4917156343361935 2.9477235492096976
30.0 4.253743252894927 5.910063201368651 3.5085144110532607
40.0 3.9591470014570467 7.547075943265006 3.633872873185313
50.0 4.936277339827529 6.446791522790143 3.5791745739152003
5.0 6.170880705348304 4.337711400518072 2.6409838675249984
10.0 6.969826570855224 6.299077495785838 3.633043260022758
20.0 6.019864996771236 4.855370765465691 4.455021739605612
30.0 7.793596960812016 6.465624871380947 5.430114270820295
40.0 8.532691588060322 9.622383136311436 6.586020563510264
50.0 4.545001347310302 4.780448498200518 4.619757434428192
5.0 6.029025089439871 6.886691248298156 4.998322063672784
10.0 4.017563144338005 7.144254065211121 5.0972710327948265
20.0 3.941017843420502 4.7480636908008975 3.3481267663993073
30.0 3.652647922020554 4.948598494269357 3.306548461951739
40.0 4.081013168328113 5.314951213568844 3.3554331772431842
50.0 4.53905455889027 5.260088952906866 3.534743824757819
5.0 6.511437954914237 6.83847556070334 3.202373217820213
10.0 5.4267915413731975 7.400544273447394 3.0314757527026885
20.0 6.980116036094303 6.471848200173473 3.797022506570172
30.0 6.65547828671766 5.053440267483604 3.5375201277655046
40.0 6.448966123643844 3.392864015309013 3.670333131680283
50.0 5.974113764162352 5.67142264967846 3.6227258022158515
5.0 7.3325847475454395 6.8808490831598705 4.999497624088565
10.0 7.649510321062357 6.920293349013711 6.110386919129182
20.0 3.528941269969005 3.554630247061226 3.317222996391014
30.0 3.7693214643562527 4.826172803275057 3.273267205894237
40.0 3.632074791540399 5.752422280219619 3.2409992322793095
50.0 3.047177529774538 4.764705145098779 3.282927369595489
5.0 7.278586300344066 6.142299266364686 4.9998869471891405
10.0 6.917898010873231 5.375005351615424 3.753884513797041
20.0 5.309721937130264 7.124002921352177 6.101452902336393
30.0 6.452520455716018 4.117731223947728 3.5763903659010743
40.0 6.618673140831754 6.16373760124544 3.5851809634050453
50.0 6.448446620563096 4.947843232646677 3.555763310523584
50.0 4.618735499985474 4.004755401600388 2.1044364472150097
5.0 7.870316328922986 7.188124463928667 4.99940373784822
10.0 7.790603952461024 5.864215175593796 4.124282049122309
20.0 5.174738319365404 6.1298672999911545 4.319075943978659
30.0 5.441335715731552 7.288539854822927 4.253673160694796
40.0 4.878712125833882 4.457137716731766 4.486438364154393
50.0 4.657146762938382 7.481360432981712 4.48646898998822
5.0 8.065751825128533 6.419245367614434 4.999237779005221
10.0 6.910994073974577 4.063591707493282 2.9443713124257007
20.0 5.6769801742538935 5.43686848601949 3.337397943828268
30.0 5.383701136285152 6.97794389311117 4.078761649306628
40.0 6.848595571907475 5.601762977690011 4.736817952038677
50.0 4.548487690793639 6.032594494670515 5.155251400590842
5.0 6.299704460079509 6.1539120036788315 4.999741066129075
10.0 7.827057931178778 5.8479945368844986 5.1512890024879985
20.0 4.936829638132785 5.161718520750471 4.010474210272199
30.0 4.24482140036557 5.844022561556647 4.157914001380665
40.0 4.231413797829481 7.1402516421992175 4.226955431230489
50.0 5.111960882253378 5.878998360700738 4.4390562345973805
5.0 7.336608708030187 7.670223497161101 4.99968334455901
10.0 8.768456483528343 7.53522208540193 6.3392262130214885
20.0 6.2829353404118296 4.941361430278874 4.017608834952456
30.0 6.780822643290046 6.781510906921716 3.945107878573984
40.0 6.315417352662812 5.48796506602682 4.404978027386602
50.0 8.181639795156364 5.434526684566476 4.576272411362863
5.0 8.698308247348175 8.385796526115518 5.000005108340742
10.0 6.423726127340974 7.4730004319379875 7.196348227962251
20.0 2.560266788409545 4.690732051455963 3.694394857106028
30.0 2.6651318456747424 5.993067598008865 3.1558911101576026
40.0 2.545819891508602 4.583479825722922 2.8973709864011203
50.0 3.3747223166803426 5.152186294774144 2.832279864588866
5.0 6.979305016525829 5.807683746818305 4.99971496682894
10.0 6.70521556100778 5.582444256773179 3.932692819605764
20.0 6.459331273962306 4.867379834706388 4.066704162557898
30.0 6.503410755931496 7.233086264866718 4.5965217812380725
40.0 7.484684316939944 6.337439000600075 5.220161438341217
50.0 7.29249693729903 5.995065652328537 5.921237031180772
5.0 6.656342929625697 5.172822790357442 2.9961792480063494
10.0 6.748010463593864 5.84252001181604 3.263296498602219
20.0 7.731369278793439 5.8385802683418175 5.157324462270059
30.0 6.255659895739167 6.914456131451476 5.19340676233766
40.0 4.067874913667397 7.5667055776620185 6.180672988414941
50.0 3.8162366235588934 5.184815347998115 3.6984126694436728
5.0 8.40919908246593 8.939233711862851 3.3182921144975603
10.0 5.146066068961374 4.138038278137009 3.177870829118672
20.0 7.116340065412056 5.541717795292641 4.973037128575005
30.0 9.045948859832361 6.753381905082791 6.337229259501739
40.0 4.626454592968413 6.44052299241774 4.915476982065267
50.0 5.301717103027301 3.9121876854941204 4.93106498466891
5.0 9.606244680800765 5.804341776257379 4.999910422076775
10.0 7.701578120895999 5.324137349382293 4.74744934002149
20.0 7.975917228288291 6.967812343918502 6.103060437760492
30.0 4.6614139346655 5.631408247226985 4.278645681744884
40.0 3.722471756359359 5.806140983692667 4.315247264729029
50.0 4.975808095506258 5.928792827225094 4.246511761631787
5.0 5.968403607266805 3.273304956136752 1.5912309494491546
10.0 7.195560089813759 3.2497674405998827 2.060466653895528
20.0 6.5516345558694775 4.637532235776504 3.185338744993917
30.0 7.100379418355651 7.347748172132041 4.138658339848512
40.0 6.963019464371181 7.867866030267518 3.647879961818244
50.0 6.794984899637091 8.611909304870226 3.8856162837404384
5.0 7.972190624961411 7.761002032177901 4.999969826529187
10.0 8.35539810266753 6.327928615715124 6.23253797824511
20.0 4.405865501349577 5.94328109409505 4.5945806944262095
30.0 5.336793093308203 6.868646733080731 4.583263334895191
40.0 5.226646694459382 6.46306020806626 4.57091843233222
50.0 5.0596286415051805 6.2926001606293855 4.633101723301414
5.0 6.289679523409832 3.5768273289557806 2.197316230291706
10.0 6.585284350606886 4.830557898734299 2.8250758858902283
20.0 5.9048661728900935 6.168929934208919 4.373565172976665
30.0 6.27969670413334 4.662240117902234 3.1104957216105857
40.0 6.08876689593244 4.1979954975161275 3.5865605414923056
