injected_SNR residual_SNR_maxL residual_SNR_rd residual_SNR_med
30.0 5.11724933965125 3.522363814246896 3.483387835737099
40.0 7.170938231709121 5.722521623970573 3.2192022078944995
50.0 8.142607311012616 5.166828705992125 3.3260236493030813
5.0 7.673588778495957 5.000000000000023 5.000000000000023
30.0 5.663410292969013 2.9632283575784477 3.0041109336330627
40.0 6.9951001772894035 3.021301951517308 2.931108474050725
50.0 5.827814171188306 4.192069931805079 3.0257702661819623
5.0 4.440899154286107 4.999999999999995 4.999999999999995
30.0 7.009646879416712 4.712989295565928 1.5220093769694605
40.0 6.13934863183655 2.7441174732129836 1.5503241200061424
50.0 6.677246222421739 3.2663278204633586 1.3858153420543509
5.0 7.217883677109801 5.000000000000007 5.000000000000007
30.0 7.560388738123682 3.3887732635732837 3.067017624299118
40.0 7.54327852555483 1.9906802886457309 2.9312852602106187
50.0 8.488964246976495 4.682703809826636 2.769310502769296
5.0 7.86969565879873 5.000000000000001 5.000000000000001
30.0 7.204773823095461 4.016026283249559 2.9025682722910515
40.0 6.861226890054953 4.5093186488566825 3.0062236187214975
50.0 5.470372937415305 2.3197046150835416 2.852190685657404
5.0 4.710015788042976 5.000000000000008 5.000000000000008
30.0 7.464397931926601 2.4897409070345264 0.9317402493438642
40.0 5.495627169390143 3.1271081514816315 0.9049358996318762
50.0 5.4559070255166695 1.3391839378181907 1.1993886874779556
5.0 7.521417612678801 5.000000000000007 5.000000000000007
30.0 6.6877099950518675 4.046762845721997 2.854032866564513
40.0 7.9731751800341 3.616477596507335 2.9862914915469987
50.0 8.076576741369863 3.360747807108528 3.1268273970188147
5.0 7.419321678048158 4.9999999999999805 4.9999999999999805
30.0 4.455123586294062 2.5203095967774902 1.3310999935105143
40.0 7.751370471088288 2.498674835842342 1.2969714347500931
50.0 4.81986604389002 2.9206026194372505 1.2987873181096055
5.0 8.054827302123329 5.000000000000006 5.000000000000006
30.0 6.298396442498162 6.981538092863854 2.883118425796351
40.0 5.470164583413326 2.516837570957568 3.2062880558619056
50.0 7.158940923116848 3.4803349970528674 2.659567358501072
5.0 6.989561036437792 4.999999999999994 4.999999999999994
30.0 6.835219790054264 3.862062992754373 3.1004414148318005
40.0 7.638018457558803 3.101393239968979 2.960531951244803
50.0 8.058483454769496 2.8795497050843877 3.062432931751088
5.0 8.039929750357262 5.000000000000015 5.000000000000015
30.0 7.510453224672383 4.791773902332827 2.954638034721354
40.0 5.778141556456191 4.190826220249017 2.9464647335836025
50.0 6.9527933509970445 2.7330078474539317 2.8620559706507818
5.0 8.943834461641092 4.999999999999998 4.999999999999998
30.0 6.807942587408702 1.7631893592755765 2.8217098284907576
40.0 6.78522953961168 3.3293845949914003 2.833923596414079
50.0 6.664360353187279 4.397535624042444 2.826365401267135
5.0 7.503318776640876 4.999999999999999 4.999999999999999
30.0 4.533474585185147 2.0411713776429665 1.5603724159013994
40.0 7.294469369860295 2.8818819896777517 1.7889857549508308
50.0 7.076751088938507 2.246806003936652 1.694674783971202
5.0 7.044213989598184 4.999999999999992 4.999999999999992
30.0 6.550524407682093 4.007981122331748 3.3327118390878834
40.0 6.485579647169483 1.894773007448253 3.3496262748757997
50.0 8.254711669764458 4.5346738076492095 3.0652623752945973
5.0 3.513229819313675 5.000000000000003 5.000000000000003
30.0 8.131443898651886 1.940327307558393 0.9980565626480096
40.0 6.849816518334524 2.0971675321694607 0.9203814126536338
50.0 6.276073212376 2.4888087498945914 0.7920226629893737
5.0 6.818434196217039 5.000000000000007 5.000000000000007
30.0 6.670343295331939 3.3205035494903328 1.6931642232712227
40.0 6.460891020154303 2.2288728500652772 1.6148121994628095
50.0 6.534833630178396 2.3452176634645374 1.469729284220117
5.0 7.729852967027302 4.999999999999995 4.999999999999995
30.0 6.004432673835781 2.6915815694052836 1.928885504775876
40.0 5.960849323764285 4.435782537248398 1.9537438135672176
50.0 7.320622574971114 1.5081533826956777 2.022107040432357
5.0 7.896888990682569 4.999999999999994 4.999999999999994
30.0 5.110890217716234 1.9066330259883346 2.24889515720759
40.0 7.343563750411701 3.120635799753792 2.1425400584713183
