injected_SNR residual_SNR_maxL residual_SNR_rd residual_SNR_med
5.0 6.83327968474419 4.999999999999777 4.999999999999777
10.0 7.060418743035545 8.725604476330174 5.614111760676533
20.0 8.966750672589201 5.821188394497701 6.2930160406694515
30.0 7.259846101708568 8.621456960182604 7.449335976891848
40.0 8.499191476974458 8.56041427397474 5.681278652326397
50.0 8.780752291788657 6.3757559289399675 5.606755836582534
10.0 6.136323214786208 4.377195687303181 4.462702468126188
20.0 7.8668685956664675 5.643221605463962 4.423543514923232
30.0 8.636464978507128 6.980023205597058 5.7655459258993655
40.0 7.091038773794584 7.977204593725815 7.187141792839244
50.0 7.726558119328061 6.534222007882466 3.9660546645216552
5.0 6.821008160730426 5.0000000000000195 5.0000000000000195
10.0 7.957394010210843 5.685754554671135 4.248589811484897
20.0 7.383198386341203 6.639701403434921 7.509768422859736
30.0 9.606395084549112 8.906155458692226 7.358347533129446
40.0 7.980567894401011 9.90608636128715 9.307933892249991
50.0 10.428676730583325 10.29043392819118 7.553714111558704
5.0 7.609643909210404 5.000000000000167 5.000000000000167
10.0 5.594317699329417 1.9575664942735762 2.199930220407008
20.0 7.740652325515624 3.163977652512663 2.8878414457222714
30.0 8.321273188813006 3.917271967814594 3.887236334901173
40.0 7.881558801985201 6.744298756943476 4.797796755603242
50.0 10.285241622223722 6.075161437562109 5.873038347930157
5.0 8.443863347154354 5.000000000000162 5.000000000000162
10.0 8.231452471721445 7.329239015557362 5.409914714696144
20.0 11.103597115429876 9.623133003853487 9.020584225187488
30.0 12.259405929630052 11.840062761290715 10.795754276021267
40.0 10.777125343635916 11.616402843670096 10.743570838378183
50.0 12.691583834899314 13.426516707507478 12.686256736192487
5.0 6.657107686539445 5.000000000000044 5.000000000000044
10.0 8.16905171350458 6.182599469147492 5.587180699570674
20.0 8.411087028976869 6.041599148379497 4.132471943932517
30.0 8.524995927261367 6.083901210334932 4.3758519478759785
40.0 5.850888071913945 7.983079806304256 4.334521469814077
50.0 7.636023232735374 5.749966601685397 4.478179089824505
5.0 7.020239137478616 4.99999999999996 3.1735598921257324
10.0 8.97616700364845 6.319884670637592 5.916358482421534
20.0 8.465986225223357 10.983250926488754 10.951647073043436
30.0 8.490203114795767 9.229477361085825 7.603817713432441
40.0 9.525422555843086 9.750083744930263 8.55649645874822
50.0 9.185559751296129 9.453970405449592 9.452093472673083
5.0 6.67762186710482 4.999999999999827 4.999999999999827
10.0 7.156698347394291 3.163711409450086 1.2992651194511575
20.0 6.186857624571178 2.6871773068456872 1.1937467339056411
30.0 5.469852422594655 6.04120943917807 0.9369788161255678
40.0 7.6503442582077135 4.604169509096087 1.045695644981315
50.0 6.1995554943267255 2.1464554613867164 1.219178330071806
5.0 7.007923032911332 4.748152844850383 4.999999999999854
10.0 8.514056518795979 4.6755143643179435 5.023899169796915
20.0 9.308380652059734 8.69970011225368 7.162496163871446
30.0 6.730269607995189 7.1747033303584375 4.99910682740584
40.0 6.483224746728393 8.125696248954819 5.330071823749493
50.0 6.428285112259412 7.433840037248008 5.880776375177025
5.0 8.545844016260657 5.000000000000076 5.000000000000076
10.0 5.809057549783308 1.979628260977164 2.339283533702853
20.0 8.629302267787168 2.1564945671677975 2.3688949394785603
30.0 6.58778186179452 3.6402882462735846 2.2338228478105333
40.0 5.074368643095226 4.4814328785317326 2.388711756275833
50.0 6.242370093246248 2.7499424806456467 2.287328670078322
5.0 6.99914088679673 5.0000000000005995 5.0000000000005995
10.0 7.120678624047579 5.367229577983112 2.4726027500158896
20.0 5.949730383426644 5.196272227970126 4.666794107284823
30.0 9.294449094159006 4.2710621278637975 4.333989078858004
40.0 8.905900833461745 5.4946875619440325 5.077076056521001
50.0 4.561824554765478 7.615255536814426 6.107211607626314
5.0 6.9546372710543825 4.999999999999982 1.9982087022427975
10.0 7.582524509790622 3.469281379487633 2.008300120319203
20.0 5.413206720497167 2.078884076433059 2.0610884682471293
30.0 8.075546429037201 2.4692876719931296 2.286315879627015
40.0 5.971430070370227 2.4475672864021454 2.4422458648502237
50.0 7.448375042428666 4.739912516872189 2.6126982686926055
5.0 6.36828075794341 5.000000000000151 5.000000000000151
10.0 7.791418606161306 5.378121327457332 5.331696563381591
20.0 8.337617275017127 4.733254259274319 3.6590945191975814
30.0 7.720834710644095 4.771416617660128 3.7736106650403203
40.0 8.473821639359018 4.5810229258327855 3.592038498076827
50.0 7.652248575203818 4.750691730316226 3.4804702818254065
5.0 9.676798183943415 5.000000000000087 5.000000000000087
10.0 8.214401405108324 7.078518024537289 6.64766861902711
20.0 7.417627547619779 9.83381534397822 8.487790054235985
30.0 8.395448654779038 8.387392919295088 6.6376077449086015
40.0 7.259323461669921 11.56087014534509 8.564786014206108
50.0 7.985390459478179 8.061853156338822 7.302261401796198
5.0 8.022330071839075 5.000000000000438 5.000000000000438
10.0 9.372519716269895 6.736203069989845 5.941490492084492
20.0 9.020994971445372 9.472550918007402 8.139829980804109
30.0 5.985293195461284 8.286133505707713 6.3356670438477956
40.0 7.096432103624423 8.780230027242755 6.107391513799008
50.0 8.006494244064118 7.795369759076238 7.117788134076612
5.0 6.100049544522484 5.000000000000215 5.000000000000215
10.0 7.71100746573809 8.088611536495133 6.564517212602686
