injected_SNR residual_SNR_maxL residual_SNR_rd residual_SNR_med
50.0 1.6777113001776354 4.238298431503598 1.573873498193516
5.0 6.882703533424758 5.484517766934858 5.000000064008405
30.0 2.068388105951074 3.0951901534744053 2.163198427412334
40.0 1.9161146638384001 2.1656793143078703 2.028641957175887
50.0 1.6823847032117683 2.5912225167762424 2.0918546157352647
5.0 7.207981789823111 5.2559189213596005 4.99999970028546
30.0 2.1585764354321992 3.424582068915961 2.1473978344382147
40.0 2.3396283022343485 3.561343450763839 2.251161082265008
50.0 2.24042370258154 2.801168076037167 2.0664643585291507
5.0 6.985587666330384 6.142828189803438 5.00000003398174
30.0 3.1248985631970343 1.5555902880958363 2.953192369667972
40.0 3.0244181369806467 3.9225050443812397 2.997542013389541
50.0 2.897345333382841 2.219222754606965 2.9911893263700935
5.0 7.0702457679676565 5.832802810064798 4.999999851199789
30.0 3.1102240397781267 4.999332894158123 3.4136933478142923
40.0 3.307040385153735 3.5374829834674735 3.318728096644163
50.0 3.251248344742658 3.31847700696443 3.3609291842365976
5.0 7.074464685987295 5.108669026149544 4.9999999815546055
30.0 1.9830727675636357 2.724388771118851 2.3266515737033946
40.0 2.278075231053045 2.8516392638372614 2.256826769090006
50.0 2.2266991440652233 3.2400348925421003 2.359227748522951
5.0 6.812555584089258 6.815157038304913 4.999999906729955
30.0 2.816230959447995 2.383847185677446 3.1427811469707176
40.0 3.1683074536235227 3.3239512692043602 2.9402372280888724
50.0 2.800479603723273 2.6078076707988265 2.956373836526416
5.0 7.1269613993945 5.733989462992015 4.999999938728685
30.0 1.6754095319263622 1.7932274638433887 1.5681495814548454
40.0 1.740469857408099 2.6327017131968615 1.4270030277191013
50.0 1.5324153299050303 3.587348793391644 1.6923553316559041
5.0 6.707011377793785 5.2695762566714555 4.999999834916987
30.0 2.9250144924981494 1.8759644971124894 3.277051954963873
40.0 3.019221992285201 3.3731136317479455 3.1465987563512092
50.0 3.0878251027478254 5.375823799804675 3.0841670876529954
5.0 7.157087269254028 5.440276206893986 5.000000073161577
30.0 2.689642227646817 3.536388645204496 2.928534616497637
40.0 2.6794546131979797 4.0165148970149325 2.865350984112793
50.0 2.8327228618383105 3.6013056363881004 2.948640027128529
