injected_SNR residual_SNR_maxL residual_SNR_rd residual_SNR_med
5.0 7.710428819191234 4.999999999999801 4.999999999999801
20.0 9.102564519545647 8.967543892579718 7.483657035281551
30.0 11.219623923650051 10.147220952151145 7.630304616636962
40.0 10.702697283838086 9.371842552936082 6.323167329828403
50.0 10.016061456378223 8.675907387353543 6.1953147805699285
10.0 7.5731802309511265 5.114546329100686 5.269755857288985
20.0 8.11322425623287 6.791665322464823 5.682852596965728
30.0 8.691988064425107 8.691615212271184 6.261443106546217
40.0 8.53539829803774 7.789327972202409 7.863373966294203
50.0 10.231060184434568 8.055480078252696 5.508148827233574
5.0 8.08127627498908 4.999999999999949 4.999999999999949
10.0 10.751195759882243 6.8042759463452045 8.566254660163201
20.0 11.86983244770778 8.978637500522101 6.904744234900092
30.0 10.651717091052262 10.840427578173006 8.89246902432117
40.0 11.45624215725996 8.948639258300911 7.677007453297474
50.0 10.605327836279624 9.749613745619001 8.776623934410473
5.0 9.194765222650942 4.999999999999934 4.999999999999934
10.0 7.888446518995548 5.350215240416002 4.13491271671494
20.0 9.704470999390896 5.246689508867258 4.260031106920486
30.0 8.31188576438262 6.2112061030939545 5.028385840385783
40.0 8.902029412563914 7.69334990233949 5.880325311481877
50.0 7.686029739644548 7.574048304364361 7.053377771570574
5.0 9.21783828397526 5.000000000000162 5.000000000000162
10.0 9.73590230646487 5.844795940096104 5.259233284792723
20.0 11.345099722660173 10.332899303215774 9.017781445352473
30.0 14.603411158884995 11.722212620372062 10.717824364209058
40.0 12.866368187401008 11.716511495105424 10.395906147709422
50.0 10.168004416672868 12.404102859070553 9.229595622475868
5.0 8.254283275748953 4.999999999999643 4.999999999999643
10.0 9.001446127981847 6.394818910756562 5.652685666655073
20.0 8.360453187983062 7.394506060114283 7.785098840598303
30.0 8.536071786959978 7.269510124075436 5.173639171818396
40.0 8.469912198211636 7.114927614862517 5.760001252052641
50.0 10.515459769919115 8.095540129274625 6.507464539922458
5.0 7.543937019921771 7.55411258891474 4.9999999999999005
10.0 8.619769853676305 6.671661891221187 7.661044902022631
20.0 10.225319756987917 11.147778045816215 9.426261038086063
30.0 10.274912910384206 10.449264991435289 7.518666107685044
40.0 11.268009958606187 11.87356310940585 8.095379928072571
50.0 12.929759017129815 12.570752688411595 8.798046406532665
5.0 7.476513786663418 4.999999999999884 4.999999999999884
10.0 8.70352341840902 7.318813978230707 6.204726462848141
20.0 10.026318759190435 7.121711228370916 5.206876026416854
30.0 9.474712882387639 9.292444146055562 6.608959538933183
40.0 11.55603152128439 9.568118816923485 7.995114789583247
50.0 10.889032221265657 11.205811482121536 9.281848098188433
5.0 5.94555059779336 4.999999999999854 4.999999999999854
10.0 9.200863221208744 6.024306238987283 5.445218532680784
20.0 12.000166288301086 10.37342792961427 8.814581626218256
30.0 9.226931775572483 8.57705047495694 5.425977283917475
40.0 10.437430624727211 7.436411416401684 5.955149767918694
50.0 9.120090201512188 9.831361827274868 6.331959867875268
5.0 7.74571100323884 4.999999999999842 4.999999999999842
10.0 7.833978398297762 8.81821234946954 7.975355146041678
20.0 10.67747961119679 9.382822435667315 7.929132365677421
30.0 9.056113817247294 10.912957569573877 9.12706525228586
40.0 11.76554226625314 10.410799454585671 8.978632267617721
50.0 10.76762393953697 11.388784581372827 10.035454413756788
5.0 6.438175836969098 5.000000000000611 5.000000000000611
10.0 9.508291606959789 3.1783311066374837 2.5146606993126746
20.0 5.560784819690739 5.841970655428397 4.698184181269838
30.0 9.150353372128494 5.765789786163947 4.460540295599348
40.0 8.016321563024917 6.473270602162537 5.3856702197544655
50.0 7.130295481079874 7.438504217786601 6.440269073239864
5.0 5.894395955656746 4.440899417213397 4.999999999999937
10.0 10.276935708078895 5.1508447602937775 3.946556452260763
20.0 10.11036998951292 7.176221001641122 6.146716394982314
30.0 9.822089418710048 8.387504150594332 7.872814105598967
40.0 9.417491597293548 10.032730104703255 9.439074636347808
50.0 9.26537768897967 12.861729246189277 8.511821869763933
5.0 6.916655622095475 5.000000000000091 5.000000000000091
10.0 7.174267148225684 10.000000000000181 8.36548504733777
20.0 10.500194056309622 8.66940546899756 6.702321134694043
30.0 10.440314509049939 8.344122080852605 8.214242842996962
40.0 10.753085312514948 11.043060909252638 10.139795733887725
50.0 11.278515414997537 11.52616919630696 10.641829902536399
